"81";"Время действия неподвижного объекта";"Сложность контроля и измерения";"Отброса и регенерации частей"
"82";"Время действия неподвижного объекта";"Сложность контроля и измерения";"Универсальности"
"83";"Время действия неподвижного объекта";"Производительность";"Непрерывности полезного действия"
"84";"Время действия неподвижного объекта";"Производительность";"Предварительного действия"
"85";"Время действия неподвижного объекта";"Производительность";"Частичного или избыточного действия"
"86";"Затраты энергии подвижным объектом";"Скорость";"Динамичности"
"87";"Затраты энергии подвижным объектом";"Время действия подвижного объекта";"Универсальности"
"88";"Затраты энергии подвижным объектом";"Потери времени";"Периодического действия"
"89";"Затраты энергии подвижным объектом";"Надёжность";"Периодического действия"
"90";"Затраты энергии подвижным объектом";"Надёжность";"Заранее подложенной подушки"
"91";"Затраты энергии подвижным объектом";"Надёжность";"Дешевая недолговечность взамен дорогой долговечности"
"92";"Затраты энергии подвижным объектом";"Точность измерения";"Местного качества"
"93";"Затраты энергии подвижным объектом";"Точность измерения";"Дробления"
"94";"Затраты энергии подвижным объектом";"Вредные факторы, действующие на объект";"Дробления"
"95";"Затраты энергии подвижным объектом";"Вредные факторы, действующие на объект";"Универсальности"
"96";"Затраты энергии подвижным объектом";"Вредные факторы, действующие на объект";"Дешевая недолговечность взамен дорогой долговечности"
"97";"Затраты энергии подвижным объектом";"Вредные факторы самого объекта";"Вынесения"
"98";"Затраты энергии подвижным объектом";"Вредные факторы самого объекта";"Универсальности"
"99";"Затраты энергии подвижным объектом";"Удобство изготовления";"Копирования"
"100";"Затраты энергии подвижным объектом";"Удобство эксплуатации";"Периодического действия"
"101";"Затраты энергии подвижным объектом";"Удобство ремонта";"Дробления"
"102";"Затраты энергии подвижным объектом";"Удобство ремонта";"Динамичности"
"103";"Затраты энергии подвижным объектом";"Адаптация, универсальность";"Динамичности"
"104";"Затраты энергии подвижным объектом";"Адаптация, универсальность";"Наоборот"
"105";"Затраты энергии подвижным объектом";"Адаптация, универсальность";"Частичного или избыточного действия"
"106";"Затраты энергии подвижным объектом";"Сложность устройства";"Вынесения"
"107";"Затраты энергии подвижным объектом";"Сложность устройства";"Дешевая недолговечность взамен дорогой долговечности"
"108";"Затраты энергии неподвижным объектом";"Надёжность";"Предварительного действия"
"109";"Затраты энергии неподвижным объектом";"Надёжность";"Обратной связи"
"110";"Затраты энергии неподвижным объектом";"Вредные факторы, действующие на объект";"Предварительного действия"
