1;9;15;3
2;9;15;19
3;9;15;5
4;9;19;15
5;9;24;13
6;9;24;26
7;9;27;11
8;9;27;27
9;9;28;1
10;9;28;24
11;9;29;10
12;9;30;1
13;9;30;23
14;9;31;2
15;9;31;24
16;9;32;13
17;9;32;1
18;9;33;13
19;9;34;34
20;9;34;2
21;9;34;27
22;9;35;15
23;9;35;10
24;9;35;26
25;9;36;10
26;9;36;4
27;9;36;34
28;9;37;3
29;9;37;34
30;9;37;27
31;9;37;16
32;15;9;3
33;15;9;5
34;15;19;6
35;15;24;10
36;15;25;20
37;15;25;10
38;15;27;11
39;15;27;2
40;15;27;13
41;15;28;3
42;15;29;3
43;15;29;27
44;15;29;16
45;15;30;22
46;15;30;15
47;15;30;33
48;15;31;16
49;15;31;22
50;15;32;27
51;15;32;1
52;15;32;4
53;15;33;27
54;15;34;10
55;15;34;27
56;15;35;1
57;15;35;13
58;15;36;10
59;15;36;4
60;15;36;15
61;15;37;19
62;15;39;19
63;16;24;10
64;16;25;20
65;16;25;10
66;16;25;16
67;16;27;34
68;16;27;27
69;16;27;6
70;16;28;10
71;16;28;26
72;16;28;24
73;16;30;1
74;16;30;33
75;16;31;22
76;16;32;10
77;16;33;1
78;16;34;1
79;16;35;2
80;16;37;25
81;16;37;34
82;16;37;6
83;16;39;20
84;16;39;10
85;16;39;16
86;19;9;15
87;19;15;6
88;19;25;19
89;19;27;19
90;19;27;11
91;19;27;27
92;19;28;3
93;19;28;1
94;19;30;1
95;19;30;6
96;19;30;27
97;19;31;2
98;19;31;6
99;19;32;26
100;19;33;19
101;19;34;1
102;19;34;15
103;19;35;15
104;19;35;13
105;19;35;16
106;19;36;2
107;19;36;27
108;20;27;10
109;20;27;23
110;20;30;10
111;20;30;2
112;20;30;22
113;20;31;19
114;20;31;22
115;20;32;1
116;20;32;4
117;20;37;19
118;20;37;16
119;20;37;25
120;20;39;1
121;20;39;6
122;24;9;26
123;24;15;10
124;24;16;10
125;24;25;24
126;24;25;26
127;24;27;10
128;24;27;23
129;24;30;22
130;24;30;10
131;24;30;1
132;24;31;10
133;24;31;22
134;24;33;27
135;24;33;22
136;24;37;33
137;24;39;13
138;24;39;23
139;24;39;15
140;25;15;20
141;25;15;10
142;25;16;20
143;25;16;10
144;25;16;16
145;25;19;19
146;25;20;1
147;25;24;24
148;25;24;26
149;25;27;10
150;25;27;4
151;25;28;24
152;25;28;34
153;25;29;24
154;25;29;26
155;25;30;34
156;25;31;22
157;25;32;34
158;25;32;4
159;25;33;4
160;25;33;10
161;25;33;34
162;25;34;1
163;25;34;10
164;25;36;6
165;25;37;10
166;27;9;11
167;27;15;2
168;27;15;3
169;27;15;25
170;27;16;34
171;27;16;27
172;27;16;6
173;27;19;11
174;27;19;27
175;27;19;19
176;27;20;23
177;27;24;10
178;27;25;10
179;27;25;4
180;27;28;3
181;27;28;11
182;27;28;23
183;27;29;11
184;27;29;1
185;27;30;27
186;27;30;2
187;27;31;2
188;27;31;26
189;27;33;27
190;27;34;1
191;27;34;11
192;27;35;13
193;27;35;24
194;27;36;13
195;27;36;1
196;27;37;27
197;27;39;1
198;28;9;13
199;28;9;24
200;28;15;6
201;28;16;10
202;28;16;16
203;28;16;24
204;28;19;3
205;28;19;6
206;28;25;24
207;28;25;34
208;28;27;5
209;28;27;11
210;28;27;1
211;28;27;23
212;28;30;24
213;28;30;22
214;28;30;26
215;28;31;3
216;28;31;10
217;28;32;6
218;28;32;25
219;28;33;1
